PMCID	Abbreviations	Abstract	Acknowledgments	Article	Author Contributions	Case study	Competing Interests	Conclusion	Discussion	Figure	Introduction	Methods	References	Results	Supplementary material	Table	Title	
PMC3385089	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC6125363	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	
PMC4364676	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC6425561	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC6336339	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC5469764	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	
PMC4477886	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	
PMC3670632	0	4	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	
PMC3987082	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC4972906	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC2394785	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC4823973	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
PMC1874597	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5977357	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
PMC3817176	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
PMC2730533	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
PMC4750576	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
PMC5655620	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5450522	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	
PMC4674004	0	6	0	0	0	0	0	0	13	0	0	4	0	6	0	0	0	
PMC5346665	0	8	0	0	0	0	0	0	8	0	15	6	0	10	0	0	0	
PMC5743801	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	
PMC4912735	0	1	0	0	0	0	0	0	0	0	4	0	0	11	0	0	0	
PMC3326054	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	
PMC5889276	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	
PMC5108039	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
PMC4794802	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
PMC5349434	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	
PMC6208484	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC3610022	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC6381004	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
PMC1064851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	
PMC5645423	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
PMC5382584	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC6406375	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC4452053	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
PMC5796023	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC4117421	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	
PMC4478187	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
PMC2944026	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	
PMC5873925	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC4798664	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	
PMC6429786	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC4216935	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC4924671	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	
PMC5137846	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC4752453	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	
PMC6009956	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	
PMC2935395	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
PMC5813200	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
PMC5342040	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC5288732	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
PMC3398786	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	
PMC2878966	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
PMC2885675	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC6279868	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC4879346	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
PMC5494299	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	0	
PMC5054310	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC5264300	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	
PMC3688782	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5389448	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
PMC4406615	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
PMC4118880	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	
PMC3492150	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC4149016	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
PMC3013090	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	
PMC4063723	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	
PMC6392145	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
PMC4669395	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC5121223	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	
PMC6402410	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC5640240	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5540841	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC4413643	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC6532325	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
PMC4723332	0	2	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	
PMC6403846	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
PMC5754375	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC4182092	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
PMC5821953	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
PMC4743126	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	
PMC5032753	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
PMC4528844	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
PMC4869252	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
PMC3569288	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC4742274	0	2	0	0	0	0	0	0	4	0	0	0	0	22	0	0	0	
PMC6262537	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC3222643	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	
PMC6617597	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC5830592	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC6152911	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC5855555	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	
PMC5482601	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	
PMC4845992	0	14	0	0	0	0	0	0	16	0	15	6	0	3	0	0	0	
PMC6470195	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5032996	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC3424555	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
PMC5071880	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	
PMC3063932	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC5457136	0	0	0	0	0	0	0	0	0	0	0	12	0	5	0	0	0	
PMC6331671	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	
PMC5490545	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5814876	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	
PMC5345140	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC5633678	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5025237	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC3948460	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5532585	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	
PMC4725739	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
PMC2132487	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
PMC6023449	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC6189381	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	
PMC4807237	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC6584808	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC5657040	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
